中央电视台,#genre#
CCTV-1,http://49.234.31.101:7004udp://@224.9.2.13:5000
CCTV-2,http://49.234.31.101:7004udp://@224.9.2.13:5000
CCTV-3,http://49.234.31.101:7004udp://@224.9.2.13:5000
CCTV-4,http://49.234.31.101:7004udp://@224.9.2.13:5000
CCTV-5,http://49.234.31.101:7004udp://@224.9.2.13:5000
CCTV-6,http://49.234.31.101:7004udp://@224.9.2.13:5000
CCTV-8,http://49.234.31.101:7004udp://@224.9.2.13:5000
CCTV-9,http://49.234.31.101:7004udp://@224.9.2.13:5000
CCTV-10,http://49.234.31.101:7004udp://@224.9.2.13:5000

山东，#genre#
山东体育,http://49.234.31.101:7004udp://@224.9.2.13:5000

广西移动魔百盒,#genre#
广东珠江,http://49.234.31.101:7004udp://@224.9.2.13:5000
广东珠江,http://49.234.31.101:7004udp://@224.9.2.13:5000
广东珠江,http://49.234.31.101:7004udp://@224.9.2.13:5000
大湾区卫视,http://49.234.31.101:7004udp://@224.9.2.13:5000
大湾区卫视,http://49.234.31.101:7004udp://@224.9.2.13:5000
大湾区卫视,http://49.234.31.101:7004udp://@224.9.2.13:5000
广东影视,http://49.234.31.101:7004udp://@224.9.2.13:5000
广东影视,http://49.234.31.101:7004udp://@224.9.2.13:5000
广东影视,http://49.234.31.101:7004udp://@224.9.2.13:5000
岭南戏曲,http://49.234.31.101:7004udp://@224.9.2.13:5000
岭南戏曲,http://49.234.31.101:7004udp://@224.9.2.13:5000
岭南戏曲,http://49.234.31.101:7004udp://@224.9.2.13:5000
